iter	Passed	Remaining
611	160438	101715
612	160707	101458
613	161011	101221
614	161279	100963
615	161520	100687
616	161770	100418
617	162021	100149
618	162249	99866
619	162502	99598
620	162775	99342
621	163065	99097
622	163353	98850
623	163629	98597
624	163869	98321
625	164118	98051
626	164327	97757
627	164561	97479
628	164793	97199
629	165034	96925
630	165266	96645
631	165571	96408
632	165803	96129
633	166123	95901
634	166491	95699
635	166862	95499
636	167220	95292
637	167530	95056
638	167777	94785
639	168013	94507
640	168295	94256
641	168576	94003
642	168812	93726
643	169038	93443
644	169315	93189
645	169569	92921
646	169863	92676
647	170136	92420
648	170379	92146
649	170613	91868
650	170847	91590
651	171122	91335
652	171354	91056
653	171642	90807
654	171896	90540
655	172164	90281
656	172433	90022
657	172713	89768
658	172973	89505
659	173186	89217
660	173523	88993
661	173781	88728
662	174052	88470
663	174298	88199
664	174569	87940
665	174828	87676
666	175164	87450
667	175639	87294
668	176021	87089
669	176465	86915
670	176878	86725
671	177152	86467
672	177485	86237
673	177735	85967
674	178014	85710
675	178304	85459
676	178625	85223
677	178953	84989
678	179199	84717
679	179425	84435
680	179698	84175
681	179997	83928
682	180248	83658
683	180541	83408
684	180776	83130
685	181017	82856
686	181298	82600
687	181529	82321
688	181767	82045
689	182000	81768
690	182299	81520
691	182560	81255
692	182801	80981
693	183029	80701
694	183309	80445
695	183555	80173
696	183839	79918
697	184180	79688
698	184427	79417
699	184668	79143
700	184894	78863
701	185158	78599
702	185419	78335
703	185660	78061
704	185866	77774
705	186122	77507
706	186347	77227
707	186602	76960
708	186830	76682
709	187062	76405
710	187323	76141
711	187548	75862
712	187828	75605
713	188049	75325
714	188298	75056
715	188542	74785
716	188789	74515
717	189068	74258
718	189282	73975
719	189528	73705
720	189809	73449
721	190021	73166
722	190266	72896
723	190495	72619
724	190727	72344
725	190927	72058
726	191177	71790
727	191560	71572
728	191881	71330
729	192148	71068
730	192462	70824
731	192756	70572
732	193096	70336
733	193354	70071
734	193579	69793
735	193839	69529
736	194073	69255
737	194310	68982
738	194530	68704
739	194754	68427
740	195046	68174
741	195284	67902
742	195481	67616
743	195659	67323
744	195919	67059
745	196101	66769
746	196340	66498
747	196644	66249
748	196871	65974
749	197104	65701
750	197298	65415
751	197510	65136
752	197798	64881
753	198025	64607
754	198282	64343
755	198520	64072
756	198757	63801
757	198979	63526
758	199219	63256
759	199468	62989
760	199707	62720
761	199978	62460
762	200230	62194
763	200470	61925
764	200713	61657
765	200937	61383
766	201187	61117
767	201386	60835
768	201617	60564
769	201997	60337
770	202198	60056
771	202462	59794
772	202734	59535
773	202957	59261
774	203221	58999
775	203434	58723
776	203666	58452
777	203893	58180
778	204123	57909
779	204381	57646
780	204633	57381
781	204879	57114
782	205137	56851
783	205354	56577
784	205607	56312
785	205880	56053
786	206120	55786
787	206351	55515
788	206573	55243
789	206818	54977
790	207085	54716
791	207311	54445
792	207575	54184
793	207842	53923
794	208144	53672
795	208443	53420
796	208711	53159
797	208961	52894
798	209205	52628
799	209466	52366
800	209690	52095
801	209903	51821
802	210115	51547
803	210366	51283
804	210567	51007
805	210835	50747
806	211125	50492
807	211333	50217
808	211558	49947
809	211817	49685
810	212082	49424
811	212302	49153
812	212514	48880
813	212760	48616
814	213003	48350
815	213211	48077
816	213462	47813
817	213695	47545
818	213915	47275
819	214123	47002
820	214369	46738
821	214600	46470
822	214831	46203
823	215106	45945
824	215411	45693
825	215667	45431
826	215921	45168
827	216191	44909
828	216459	44649
829	216685	44381
830	216916	44114
831	217194	43856
832	217439	43592
833	217685	43328
834	217897	43057
835	218121	42789
836	218371	42526
837	218603	42259
838	218858	41997
839	219084	41730
840	219317	41464
841	219575	41202
842	219791	40933
843	219978	40659
844	220237	40398
845	220520	40142
846	220765	39878
847	221010	39615
848	221248	39350
849	221485	39085
850	221699	38816
851	221938	38552
852	222184	38289
853	222402	38021
854	222633	37756
855	222925	37501
856	223186	37241
857	223437	36979
858	223735	36724
859	224003	36465
860	224251	36203
861	224470	35936
862	224731	35675
863	225026	35420
864	225318	35165
865	225561	34902
866	225796	34637
867	226028	34373
868	226250	34106
869	226493	33843
870	226731	33580
871	227169	33345
872	227421	33084
873	227756	32834
874	228081	32583
875	228358	32324
876	228658	32069
877	228892	31805
878	229226	31554
879	229577	31306
880	229850	31046
881	230159	30792
882	230432	30533
883	230736	30277
884	231002	30017
885	231283	29758
886	231592	29503
887	231846	29241
888	232127	28983
889	232405	28724
890	232725	28470
891	232951	28204
892	233198	27941
893	233449	27679
894	233728	27420
895	233987	27159
896	234253	26898
897	234612	26648
898	234905	26390
899	235217	26135
900	235614	25888
901	235988	25639
902	236316	25385
903	236559	25121
904	236824	24859
905	237115	24601
906	237353	24337
907	237579	24071
908	237821	23808
909	238035	23541
910	238288	23279
911	238516	23014
912	238744	22749
913	238980	22486
914	239186	22219
915	239415	21955
916	239673	21693
917	239911	21429
918	240124	21164
919	240382	20902
920	240644	20641
921	240912	20380
922	241177	20119
923	241431	19858
924	241658	19593
925	241883	19329
926	242142	19068
927	242343	18802
928	242633	18543
929	242881	18281
930	243109	18017
931	243372	17756
932	243607	17493
933	243838	17230
934	244090	16968
935	244333	16706
936	244585	16444
937	244828	16182
938	245077	15920
939	245287	15656
940	245569	15397
941	245784	15133
942	246026	14871
943	246265	14608
944	246578	14351
945	246918	14094
946	247207	13835
947	247439	13572
948	247664	13309
949	247939	13049
950	248179	12787
951	248398	12524
952	248639	12262
953	248878	12000
954	249127	11738
955	249362	11476
956	249608	11215
957	249830	10952
958	250040	10689
959	250299	10429
960	250518	10166
961	250743	9904
962	250981	9643
963	251203	9381
964	251478	9120
965	251727	8859
966	251960	8598
967	252213	8337
968	252467	8076
969	252711	7815
970	252903	7553
971	253143	7292
972	253470	7033
973	253796	6774
974	254037	6513
975	254282	6252
976	254551	5992
977	254770	5731
978	255024	5470
979	255235	5208
980	255459	4947
981	255776	4688
982	256085	4428
983	256346	4168
984	256592	3907
985	256866	3647
986	257097	3386
987	257342	3125
988	257587	2864
989	257813	2604
990	258076	2343
991	258336	2083
992	258569	1822
993	258790	1562
994	259063	1301
995	259319	1041
996	259551	780
997	259791	520
998	259993	260
999	260252	0
