iter	MultiClass
144	1.359251593
145	1.358521433
146	1.358002351
147	1.356621807
148	1.355434771
149	1.354975633
150	1.354111448
151	1.352918478
152	1.352028183
153	1.351085921
154	1.350234565
155	1.349488362
156	1.348773053
157	1.347637025
158	1.346937581
159	1.346425578
160	1.345373378
161	1.34431613
162	1.343773944
163	1.343139127
164	1.3422749
165	1.341324805
166	1.340576482
167	1.339521389
168	1.338679325
169	1.337748195
170	1.336672585
171	1.336163833
172	1.335143487
173	1.334044727
174	1.333050727
175	1.332164791
176	1.331249454
177	1.33058311
178	1.329975726
179	1.329085705
180	1.328166889
181	1.327713612
182	1.3265467
183	1.32575405
184	1.325026121
185	1.324433379
186	1.323776148
187	1.323417899
188	1.322650446
189	1.322139411
190	1.321603375
191	1.321090124
192	1.320647026
193	1.319724638
194	1.318921784
195	1.318010289
196	1.31678719
197	1.315754432
198	1.315123021
199	1.314492316
200	1.313798149
201	1.312909563
202	1.311960474
203	1.31126981
204	1.310444041
205	1.309802428
206	1.309311965
207	1.308128679
208	1.307647762
209	1.30704617
210	1.306133356
211	1.305345275
212	1.304396664
213	1.303478346
214	1.302408642
215	1.301390954
216	1.300746428
217	1.300129503
218	1.299808069
219	1.299364498
220	1.298984611
221	1.298277626
222	1.297559312
223	1.296912036
224	1.296378951
225	1.295402606
226	1.294780378
227	1.294268962
228	1.293621751
229	1.292782741
230	1.292264397
231	1.291596477
232	1.290776975
233	1.290063791
234	1.289198431
235	1.28868642
236	1.287989004
237	1.287415486
238	1.286711526
239	1.286042073
240	1.285624362
241	1.284873154
242	1.284232241
243	1.283439576
244	1.282833552
245	1.282368575
246	1.281784901
247	1.280981771
248	1.280285436
249	1.279704915
250	1.279151817
251	1.278886816
252	1.278638351
253	1.278276639
254	1.277950816
255	1.277416202
256	1.276870596
257	1.276471564
258	1.276029206
259	1.27563416
260	1.275013664
261	1.27430088
262	1.273705426
263	1.273350748
264	1.272984605
265	1.272348796
266	1.271939909
267	1.271391107
268	1.270507428
269	1.269957949
270	1.269383473
271	1.268543212
272	1.2679505
273	1.267452266
274	1.266799065
275	1.266022632
276	1.265637084
277	1.26525701
278	1.264461969
279	1.264127085
280	1.263620342
281	1.263073626
282	1.262729406
283	1.262035556
284	1.261469184
285	1.260992955
286	1.260564986
287	1.260215532
288	1.259295171
289	1.258721691
290	1.258456541
291	1.257846915
292	1.257504855
293	1.257168136
294	1.256553677
295	1.25609091
296	1.255524344
297	1.254925084
298	1.254341334
299	1.25407318
300	1.25376191
301	1.253281484
302	1.252734211
303	1.252240866
304	1.251950285
305	1.251468951
306	1.251025431
307	1.250258368
308	1.249818631
309	1.249165272
310	1.248498621
311	1.247679105
312	1.247384651
313	1.246523106
314	1.246282505
315	1.245771038
316	1.245312556
317	1.244715059
318	1.244271623
319	1.24413067
320	1.243767247
321	1.243472066
322	1.243048563
323	1.24245045
324	1.241957554
325	1.241705602
326	1.241193431
327	1.240953286
328	1.240433812
329	1.240200979
330	1.239598176
331	1.239121293
332	1.238850297
333	1.238570217
334	1.238187911
335	1.237920792
336	1.237657243
337	1.237194531
338	1.236762365
339	1.236329664
340	1.236081561
341	1.235634315
342	1.235185855
343	1.234812552
344	1.234288617
345	1.233937582
346	1.233536244
347	1.23312812
348	1.232900883
349	1.232272993
350	1.231887894
351	1.231592001
352	1.231383045
353	1.231100258
354	1.230706471
355	1.230172619
356	1.229655879
357	1.228974807
358	1.22861377
359	1.228208425
360	1.227626125
361	1.227092856
362	1.226609473
363	1.226136869
364	1.225813159
365	1.225365381
366	1.224731275
367	1.224352184
368	1.224013279
369	1.223621177
370	1.223088045
371	1.22276013
372	1.222464915
373	1.222087834
374	1.221632852
375	1.221360654
376	1.22085793
377	1.220420462
378	1.220039409
379	1.219482979
380	1.219015821
381	1.218561432
382	1.217965232
383	1.217350375
384	1.217022231
385	1.216691243
386	1.216053185
387	1.215686497
388	1.21517728
389	1.214618533
390	1.214322857
391	1.214067093
392	1.213566715
393	1.213363795
394	1.21289373
395	1.212327706
396	1.211949914
397	1.211415156
398	1.211078549
399	1.21080135
400	1.210550435
401	1.210150068
402	1.209679983
403	1.209412911
404	1.209094827
405	1.208730418
406	1.208230974
407	1.2078319
408	1.207416128
409	1.207093403
410	1.206668124
411	1.206123097
412	1.205899518
413	1.205669136
414	1.205382141
415	1.204813424
416	1.204349231
417	1.203932324
418	1.203727262
419	1.203370078
420	1.203018258
421	1.202730676
422	1.202270877
423	1.201927384
424	1.201651524
425	1.201214116
426	1.200895111
427	1.200443064
428	1.199997493
429	1.199432619
430	1.199095191
431	1.19841089
432	1.197987901
433	1.197672046
434	1.197423366
435	1.197038831
436	1.196652956
437	1.196527828
438	1.196112172
439	1.195795844
440	1.1955726
441	1.195357109
442	1.19509799
443	1.194766658
444	1.194377806
445	1.194176568
446	1.193811454
447	1.193534151
448	1.193032043
449	1.192682634
450	1.192145581
451	1.191973372
452	1.1915144
453	1.191153176
454	1.190482401
455	1.190098049
456	1.189667576
457	1.189336705
458	1.189043273
459	1.188571452
460	1.18813456
461	1.187664955
462	1.18740515
463	1.186758486
464	1.186474705
465	1.186198288
466	1.185894424
467	1.185384908
468	1.18523919
469	1.184888965
470	1.184681335
471	1.184510083
472	1.184160735
473	1.183902662
474	1.183515387
475	1.183207837
476	1.182830173
477	1.182614052
478	1.182364074
479	1.181916291
480	1.18164612
481	1.181316821
482	1.18096875
483	1.180727556
484	1.180320308
485	1.180019247
486	1.179728245
487	1.179547178
488	1.179136927
489	1.178809637
490	1.178487192
491	1.177953653
492	1.177549561
493	1.177143047
494	1.176801383
495	1.176360242
496	1.175968845
497	1.175704196
498	1.175436281
499	1.174901428
500	1.174506392
501	1.174340141
502	1.174014805
503	1.173729617
504	1.173540657
505	1.173259582
506	1.172865001
507	1.17275038
508	1.172429481
509	1.172131939
510	1.171769377
511	1.171539325
512	1.171168143
513	1.170991548
514	1.170733407
515	1.170555418
516	1.170300843
517	1.169993702
518	1.16957475
519	1.169086099
520	1.168765887
521	1.168478528
522	1.168007307
523	1.167677251
524	1.167266697
525	1.167010096
526	1.166742862
527	1.166430715
528	1.16617823
529	1.1659877
530	1.165637688
531	1.165365721
532	1.16494467
533	1.164690772
534	1.164398022
535	1.164154891
536	1.163803206
537	1.163547876
538	1.163109007
539	1.162861721
540	1.162420697
541	1.162271067
542	1.162052897
543	1.161645604
544	1.161437677
545	1.160926221
546	1.160606254
547	1.160377158
548	1.160048094
549	1.159657573
550	1.159317862
551	1.159037198
552	1.15867476
553	1.158434217
554	1.158135865
555	1.15800186
556	1.157844791
557	1.15758114
558	1.157272055
559	1.157076826
560	1.15660441
561	1.156397636
562	1.156072906
563	1.155788307
564	1.155427481
565	1.15518547
566	1.155041853
567	1.154670571
568	1.154444038
569	1.154112092
570	1.153711181
571	1.153454314
572	1.153063509
573	1.15282081
574	1.152361554
575	1.15212035
576	1.151927824
577	1.151756252
578	1.151425887
579	1.151210139
580	1.15094275
581	1.150527778
582	1.15013747
583	1.14988062
584	1.149631121
585	1.149154075
586	1.148924691
587	1.148795902
588	1.148583066
589	1.148339468
590	1.148175793
591	1.147857296
592	1.147649706
593	1.147329287
594	1.147102325
595	1.146802453
596	1.146567255
597	1.146384367
598	1.146031888
599	1.145799243
600	1.145584422
601	1.14527279
602	1.145068437
603	1.144907781
604	1.144673311
605	1.144552322
606	1.144290138
607	1.143838354
608	1.143430589
609	1.143195648
610	1.14290552
611	1.142621787
612	1.142364425
613	1.142007
614	1.141778009
615	1.141524206
616	1.14125159
617	1.140966297
618	1.140800428
619	1.140644904
620	1.140407881
621	1.140182096
622	1.139949719
623	1.139686364
624	1.139553816
625	1.139236446
626	1.139067047
627	1.138899214
628	1.138619698
629	1.138435755
630	1.138243533
631	1.137923429
632	1.137690485
633	1.137156933
634	1.136910088
635	1.136548174
636	1.136433857
637	1.136210969
638	1.135949769
639	1.13562991
640	1.135303933
641	1.13483632
642	1.13451024
643	1.134299201
644	1.133799085
645	1.133595065
646	1.133279647
647	1.132854003
648	1.132640595
649	1.132438122
650	1.132192908
651	1.131813822
652	1.131622485
653	1.13130103
654	1.131008548
655	1.130798261
656	1.130496253
657	1.130219637
658	1.130025782
659	1.129851702
660	1.129627927
661	1.129453751
662	1.129243238
663	1.12911876
664	1.128891042
665	1.128676939
666	1.128445603
667	1.128232573
668	1.127952859
669	1.127584394
670	1.127319795
671	1.127135612
672	1.126806433
673	1.126589925
674	1.126405764
675	1.126188696
676	1.12588874
677	1.125537843
678	1.125275507
679	1.125147948
680	1.125022281
681	1.124786588
682	1.124558509
683	1.124214706
684	1.12401267
685	1.123840949
686	1.123487619
687	1.123236339
688	1.12285844
689	1.122552339
690	1.1222651
691	1.121953633
692	1.12179355
693	1.1215928
694	1.12124418
695	1.121082807
696	1.120681652
697	1.120216191
698	1.120094793
699	1.119832172
700	1.119640655
701	1.119417679
702	1.119203666
703	1.118950755
704	1.118784723
705	1.118591545
706	1.118489629
707	1.118221006
708	1.118001953
709	1.117707892
710	1.117243944
711	1.117119775
712	1.116761609
713	1.116545954
714	1.116096857
715	1.115871515
716	1.115553942
717	1.115306483
718	1.115207058
719	1.115037946
720	1.114763957
721	1.114620517
722	1.114361619
723	1.114038758
724	1.113814984
725	1.113653566
726	1.113414869
727	1.113111288
728	1.112853997
729	1.112670745
730	1.112444147
731	1.112318837
732	1.112110774
733	1.112040059
734	1.111809917
735	1.111640527
736	1.11146751
737	1.111163548
738	1.110973797
739	1.110672552
740	1.110271309
741	1.110003324
742	1.109887029
743	1.109763288
744	1.10954385
745	1.109429299
746	1.10913851
747	1.108890869
748	1.108609528
749	1.108476937
750	1.108343523
751	1.108154158
752	1.107936439
753	1.107679571
754	1.107372351
755	1.107170773
756	1.106972487
757	1.106761898
758	1.106557738
759	1.106382698
760	1.10616743
761	1.1058375
762	1.105582747
763	1.105359358
764	1.105128005
765	1.104946481
766	1.104700278
767	1.104604645
768	1.104395715
769	1.104149699
770	1.104065527
771	1.103812311
772	1.103648361
773	1.10346456
774	1.103115117
775	1.102990881
776	1.102799086
777	1.102634085
778	1.102437192
779	1.102100449
780	1.101900273
781	1.101752013
782	1.101472034
783	1.10137426
784	1.101172296
785	1.100972291
786	1.100826737
787	1.100645587
788	1.100480885
789	1.100345944
790	1.100059909
791	1.099842495
792	1.099622444
793	1.099425696
794	1.099093773
795	1.098718896
796	1.098518728
797	1.09827551
798	1.098095522
799	1.097834321
800	1.097606398
801	1.097467516
802	1.097284742
803	1.097005516
804	1.096878119
805	1.096522767
806	1.096253354
807	1.096102042
808	1.095963735
809	1.095632441
810	1.095387038
811	1.0951562
812	1.094926967
813	1.094731861
814	1.0946065
815	1.094461817
816	1.094163247
817	1.09394292
818	1.093789996
819	1.093644655
820	1.093502951
821	1.093392145
822	1.093178942
823	1.092861593
824	1.092587236
825	1.092377472
826	1.092158284
827	1.091855468
828	1.091560536
829	1.091394799
830	1.091295515
831	1.090942855
832	1.09066642
833	1.090459773
834	1.090309915
835	1.090057759
836	1.089910069
837	1.089745229
838	1.089497176
839	1.089301565
840	1.089072541
841	1.088794769
842	1.088632436
843	1.08851143
844	1.088343239
845	1.088161804
846	1.087971011
847	1.087818912
848	1.087602363
849	1.087405189
850	1.087238426
851	1.086920016
852	1.086769626
853	1.086622405
854	1.086425167
855	1.086150559
856	1.08571742
857	1.085538913
858	1.085354117
859	1.0851763
860	1.085044557
861	1.084910956
862	1.084659542
863	1.084423808
864	1.084233063
865	1.08411284
866	1.083923744
867	1.083716717
868	1.083612312
869	1.083434984
870	1.083292971
871	1.083147165
872	1.083018989
873	1.082720837
874	1.082561969
875	1.082470522
876	1.082214706
877	1.082053567
878	1.081690891
879	1.081433364
880	1.081252761
881	1.081137573
882	1.081019732
883	1.08077787
884	1.080625763
885	1.080481267
886	1.08023733
887	1.080153189
888	1.079913135
889	1.079796557
890	1.079632067
891	1.07946657
892	1.079322024
893	1.079168696
894	1.078889835
895	1.078791452
896	1.078689677
897	1.078409294
898	1.078324274
899	1.078014094
900	1.077750817
901	1.077507342
902	1.077100393
903	1.076854795
904	1.076683157
905	1.076440242
906	1.076244696
907	1.0760978
908	1.075888655
909	1.075770883
910	1.075611219
911	1.075477477
912	1.075255565
913	1.07506767
914	1.074917597
915	1.074767704
916	1.074608213
917	1.074460436
918	1.074350901
919	1.074246803
920	1.07403224
921	1.073871735
922	1.07369503
923	1.073403504
924	1.073222039
925	1.07304467
926	1.072686223
927	1.072629527
928	1.072294009
929	1.072143151
930	1.07200173
931	1.071827743
932	1.071653619
933	1.071500257
934	1.071332213
935	1.07111963
936	1.070952331
937	1.070782397
938	1.070595777
939	1.07045163
940	1.070307025
941	1.070122032
942	1.069868728
943	1.069613525
944	1.069347759
945	1.069133078
946	1.068940914
947	1.068777375
948	1.068639442
949	1.068411861
950	1.068239829
951	1.068050655
952	1.067906556
953	1.06775381
954	1.0674833
955	1.067314272
956	1.067184532
957	1.067056032
958	1.066939253
959	1.066747724
960	1.066617301
961	1.066324539
962	1.0661062
963	1.065901855
964	1.065738399
965	1.06560811
966	1.065446567
967	1.065213433
968	1.065038166
969	1.06488602
970	1.064809792
971	1.064589446
972	1.064363843
973	1.064209777
974	1.063999295
975	1.063816684
976	1.063611569
977	1.063491665
978	1.063340273
979	1.063252367
980	1.063081227
981	1.062887066
982	1.06273858
983	1.06253525
984	1.062387061
985	1.062250945
986	1.06215276
987	1.06195339
988	1.061808837
989	1.061709132
990	1.061577621
991	1.061280472
992	1.061102917
993	1.060905985
994	1.06060676
995	1.060406296
996	1.060196731
997	1.060013441
998	1.059936558
999	1.059669445
